"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0000049","MF","tRNA binding","1/51","79/191179",0.020860939707075,1,"EIF2S3B",0.0270714484748302
"GO:0001618","MF","virus receptor activity","1/51","79/191179",0.020860939707075,1,"RPSA",0.0270714484748302
"GO:0046332","MF","SMAD binding","1/51","79/191179",0.020860939707075,1,"PURA",0.0270714484748302
"GO:0140272","MF","exogenous protein binding","1/51","80/191179",0.0211222484044844,1,"RPSA",0.027202895672442
"GO:0008238","MF","exopeptidase activity","1/51","102/191179",0.0268537731508209,1,"NUDT16",0.034324371696538
"GO:0043022","MF","ribosome binding","1/51","109/191179",0.0286705307430406,1,"RPSA",0.0363730613904246
"GO:0016810","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","1/51","136/191179",0.0356469281914585,1,"ADAT3",0.0448887243892441
"GO:0043021","MF","ribonucleoprotein complex binding","1/51","168/191179",0.0438516571113253,1,"RPSA",0.0548145713891567
"GO:0030234","MF","enzyme regulator activity","2/51","1282/191179",0.046148975948039,2,"RPS20/RPS27L",0.0572651526362527
"GO:0008237","MF","metallopeptidase activity","1/51","185/191179",0.0481825429967297,1,"NUDT16",0.0593553065901743
"GO:0000287","MF","magnesium ion binding","1/51","224/191179",0.0580455650818943,1,"NUDT16",0.0709909788771369
"GO:0005524","MF","ATP binding","2/51","1472/191179",0.0589518059334606,2,"DDX19A/EIF4A1",0.0711968120369912
"GO:0061134","MF","peptidase regulator activity","1/51","228/191179",0.0590514735130339,1,"RPS27L",0.0711968120369912
"GO:0032559","MF","adenyl ribonucleotide binding","2/51","1533/191179",0.0632957298881452,2,"DDX19A/EIF4A1",0.0757765780351034
"GO:0030554","MF","adenyl nucleotide binding","2/51","1635/191179",0.0707933495120207,2,"DDX19A/EIF4A1",0.0841599259933113
"GO:0030371","MF","translation repressor activity","1/51","314/191179",0.0804255481117285,1,"PURA",0.0949468276319017
"GO:0003924","MF","GTPase activity","1/51","333/191179",0.0850831324106121,1,"EIF2S3B",0.0997526379986486
"GO:0005525","MF","GTP binding","1/51","382/191179",0.0969883259870623,1,"EIF2S3B",0.112931612450689
"GO:0004857","MF","enzyme inhibitor activity","1/51","386/191179",0.097953445884463,1,"RPS20",0.113279495240535
"GO:0019001","MF","guanyl nucleotide binding","1/51","403/191179",0.102043935726478,1,"EIF2S3B",0.115791270933704
"GO:0032561","MF","guanyl ribonucleotide binding","1/51","403/191179",0.102043935726478,1,"EIF2S3B",0.115791270933704
"GO:0042802","MF","identical protein binding","2/51","2029/191179",0.102168768470915,2,"NUDT16/SMN1",0.115791270933704
"GO:0140297","MF","DNA-binding transcription factor binding","1/51","477/191179",0.119638739215454,1,"PURA",0.134692620308789
"GO:0050839","MF","cell adhesion molecule binding","1/51","557/191179",0.138279980113234,1,"RPSA",0.154655240916116
"GO:0008047","MF","enzyme activator activity","1/51","586/191179",0.144941407173246,1,"RPS27L",0.161046007970274
"GO:0008134","MF","transcription factor binding","1/51","599/191179",0.147911150850491,1,"PURA",0.162975204005591
"GO:0008233","MF","peptidase activity","1/51","602/191179",0.148595038946274,1,"NUDT16",0.162975204005591
"GO:0019904","MF","protein domain specific binding","1/51","648/191179",0.159014184177586,1,"POLR2J",0.173284687885831
"GO:0042803","MF","protein homodimerization activity","1/51","709/191179",0.172638282488266,1,"NUDT16",0.186933172121052
"GO:0008289","MF","lipid binding","1/51","841/191179",0.201383432623156,1,"RNASE3",0.216678376873015
"GO:0140677","MF","molecular function activator activity","1/51","1115/191179",0.257961132844637,1,"RPS27L",0.275807500525713
"GO:0000981","MF","DNA-binding transcription factor activity, RNA polymerase II-specific","1/51","1367/191179",0.306515755517146,1,"PURA",0.325672990236967
"GO:0000977","MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding","1/51","1403/191179",0.313192808491475,1,"PURA",0.330700481015843
"GO:0003700","MF","DNA-binding transcription factor activity","1/51","1458/191179",0.323272333847544,1,"PURA",0.339236399716558
"GO:0000976","MF","transcription cis-regulatory region binding","1/51","1499/191179",0.330691670531752,1,"PURA",0.343163183952547
"GO:0001067","MF","transcription regulatory region nucleic acid binding","1/51","1501/191179",0.331051542165987,1,"PURA",0.343163183952547
"GO:1990837","MF","sequence-specific double-stranded DNA binding","1/51","1562/191179",0.341936959857937,1,"PURA",0.352298685914238
"GO:0003690","MF","double-stranded DNA binding","1/51","1658/191179",0.358717345959374,1,"PURA",0.367361137428275
"GO:0043565","MF","sequence-specific DNA binding","1/51","1672/191179",0.361129170686918,1,"PURA",0.367616521058539
"GO:0044877","MF","protein-containing complex binding","1/51","1760/191179",0.376086860083508,1,"RPSA",0.380564084608312
"GO:0140110","MF","transcription regulator activity","1/51","1960/191179",0.408816345792994,1,"PURA",0.411235377424906
"GO:0140096","MF","catalytic activity, acting on a protein","1/51","2280/191179",0.457714278385857,1,"NUDT16",0.457714278385857
