"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0035770","CC","ribonucleoprotein granule","6/51","270/191179",1.28128899301942e-10,6,"DDX19A/FASTKD5/PNRC2/POLR2G/RBM4/SMN1",6.83354129610358e-10
"GO:0042788","CC","polysomal ribosome","4/51","31/191179",1.40524409241794e-10,4,"RPL36/RPL41/RPL8/RPS29",7.02622046208972e-10
"GO:0055029","CC","nuclear DNA-directed RNA polymerase complex","5/51","111/191179",1.38495131702783e-10,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",7.02622046208972e-10
"GO:0000428","CC","DNA-directed RNA polymerase complex","5/51","114/191179",1.58540620977649e-10,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",7.6868179867951e-10
"GO:0030880","CC","RNA polymerase complex","5/51","118/191179",1.88800789598077e-10,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",8.8847430399095e-10
"GO:0005844","CC","polysome","4/51","67/191179",3.398991626627e-09,4,"RPL36/RPL41/RPL8/RPS29",1.55382474360091e-08
"GO:0140535","CC","intracellular protein-containing complex","7/51","914/191179",5.38041820339836e-09,7,"EIF4A1/NCBP2L/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",2.39129697928816e-08
"GO:0005730","CC","nucleolus","8/51","1483/191179",6.09736622507947e-09,8,"NOP2/NUDT16/POLR2K/RBM4/RPL3/RPL36/RPS8/UTP3",2.63669890814247e-08
"GO:0036464","CC","cytoplasmic ribonucleoprotein granule","5/51","253/191179",8.71876054974292e-09,5,"DDX19A/PNRC2/POLR2G/RBM4/SMN1",3.67105707357597e-08
"GO:0061695","CC","transferase complex, transferring phosphorus-containing groups","5/51","306/191179",2.24828217683605e-08,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",9.22372175112228e-08
"GO:0005925","CC","focal adhesion","5/51","421/191179",1.09283175242928e-07,5,"RPL3/RPL37A/RPL8/RPS29/RPS8",4.37132700971711e-07
"GO:0030055","CC","cell-substrate junction","5/51","431/191179",1.22715603651196e-07,5,"RPL3/RPL37A/RPL8/RPS29/RPS8",4.78890160590035e-07
"GO:0005576","CC","extracellular region","10/51","4564/191179",3.1113747461314e-07,10,"EIF4A1/RNASE10/RNASE13/RNASE3/RPL3/RPL37A/RPS20/RPS29/RPS8/RPSA",1.18528561757387e-06
